Timestamp,UNIX,Apparent (VA),Active (W),kettle,vacuum,water_heater,oven,fridge,washing_machine,dryer,aircond
2022-11-07 17:25:33,1667813133,0.0,0.0,0.0,0.0,0.0,2293.47,0.0,0.0,0.0,1640.54
2022-11-07 17:25:34,1667813134,0.0,0.0,0.0,0.0,0.0,2293.38,0.0,0.0,0.0,1642.39
2022-11-07 17:25:35,1667813135,0.0,0.0,0.0,0.0,0.0,2293.24,0.0,0.0,0.0,1642.04
2022-11-07 17:25:36,1667813136,0.0,0.0,0.0,0.0,0.0,2293.21,0.0,0.0,0.0,1640.52
2022-11-07 17:25:37,1667813137,0.0,0.0,0.0,0.0,0.0,2292.41,0.0,0.0,0.0,1641.36
2022-11-07 17:25:38,1667813138,0.0,0.0,0.0,0.0,0.0,2288.39,0.0,0.0,0.0,1638.89
2022-11-07 17:25:39,1667813139,0.0,0.0,0.0,0.0,0.0,2286.91,0.0,0.0,0.0,1639.79
2022-11-07 17:25:40,1667813140,0.0,0.0,0.0,0.0,0.0,2287.43,0.0,0.0,0.0,1640.15
2022-11-07 17:25:41,1667813141,0.0,0.0,0.0,0.0,0.0,2285.57,0.0,0.0,0.0,1632.44
2022-11-07 17:25:42,1667813142,0.0,0.0,0.0,0.0,0.0,2283.97,0.0,0.0,0.0,1630.06
2022-11-07 17:25:43,1667813143,0.0,0.0,0.0,0.0,0.0,2284.53,0.0,0.0,0.0,1631.08
2022-11-07 17:25:44,1667813144,0.0,0.0,0.0,0.0,0.0,2285.31,0.0,0.0,0.0,1629.01
2022-11-07 17:25:45,1667813145,0.0,0.0,0.0,0.0,0.0,2284.22,0.0,0.0,0.0,1631.2
2022-11-07 17:25:46,1667813146,0.0,0.0,0.0,0.0,0.0,2288.28,0.0,0.0,0.0,1632.14
2022-11-07 17:25:47,1667813147,0.0,0.0,0.0,0.0,0.0,2311.96,0.0,0.0,0.0,1630.59
2022-11-07 17:25:48,1667813148,0.0,0.0,0.0,0.0,0.0,2312.73,0.0,0.0,0.0,1631.08
2022-11-07 17:25:49,1667813149,0.0,0.0,0.0,0.0,0.0,2309.8,0.0,0.0,0.0,1624.94
2022-11-07 17:25:50,1667813150,0.0,0.0,0.0,0.0,0.0,2306.64,0.0,0.0,0.0,1623.35
2022-11-07 17:25:51,1667813151,0.0,0.0,0.0,0.0,0.0,2302.65,0.0,0.0,0.0,1622.9
2022-11-07 17:25:52,1667813152,0.0,0.0,0.0,0.0,0.0,2302.34,0.0,0.0,0.0,1622.56
2022-11-07 17:25:53,1667813153,0.0,0.0,0.0,0.0,0.0,2301.98,0.0,0.0,0.0,1624.73
2022-11-07 17:25:54,1667813154,0.0,0.0,0.0,0.0,0.0,2299.17,0.0,0.0,0.0,1628.06
2022-11-07 17:25:55,1667813155,0.0,0.0,0.0,0.0,0.0,2299.7,0.0,0.0,0.0,1628.0
2022-11-07 17:25:56,1667813156,0.0,0.0,0.0,0.0,0.0,2300.28,0.0,0.0,0.0,1629.13
2022-11-07 17:25:57,1667813157,0.0,0.0,0.0,0.0,0.0,2298.44,0.0,0.0,0.0,1622.49
