Sample Rate,Sequence Length,Metric,Appliance,Seq2Point,Seq2Seq
3,599,mae,vacuum cleaner,115.918373,108.771774
3,599,mae,washing machine,20.718771,20.093945
3,599,nde,air conditioner,inf,inf
3,599,nde,electric water heating appliance,0.996677,1.000304
3,599,nde,fridge,1.037505,1.006236
3,599,nde,kettle,2.739598,1.416165
3,599,nde,oven,1.019197,1.007415
3,599,nde,tumble dryer,0.858671,0.732693
3,599,nde,vacuum cleaner,0.948711,0.97247
3,599,nde,washing machine,1.044906,1.082477
3,599,rmse,air conditioner,615.064783,286.439662
3,599,rmse,electric water heating appliance,906.976915,910.27719
3,599,rmse,fridge,56.160776,54.468136
3,599,rmse,kettle,830.8446,429.483829
3,599,rmse,oven,596.468199,589.57323
3,599,rmse,tumble dryer,493.048711,420.711804
3,599,rmse,vacuum cleaner,428.243487,438.968304
3,599,rmse,washing machine,32.148964,33.304917
6,99,f1score,air conditioner,0.0,0.0
6,99,f1score,electric water heating appliance,0.141667,0.156863
6,99,f1score,fridge,0.15555,0.101437
6,99,f1score,kettle,0.102715,0.052952
6,99,f1score,oven,0.08942,0.10102
6,99,f1score,tumble dryer,0.379836,0.383616
6,99,f1score,vacuum cleaner,0.102339,0.08472
6,99,f1score,washing machine,0.391922,0.387017
6,99,mae,air conditioner,125.912376,175.988846
6,99,mae,electric water heating appliance,249.866806,288.425903
6,99,mae,fridge,33.222279,31.19276
6,99,mae,kettle,263.325439,210.872711
6,99,mae,oven,257.696716,235.33847
6,99,mae,tumble dryer,271.005249,226.211136
6,99,mae,vacuum cleaner,131.604248,114.875252
6,99,mae,washing machine,17.752977,19.48926
6,99,nde,air conditioner,inf,inf
6,99,nde,electric water heating appliance,0.999917,1.048687
6,99,nde,fridge,0.995906,1.000464
6,99,nde,kettle,2.119032,1.550846
6,99,nde,oven,1.091711,1.06823
6,99,nde,tumble dryer,1.076153,0.718677
6,99,nde,vacuum cleaner,0.982766,0.98656
6,99,nde,washing machine,0.938149,0.95999
6,99,rmse,air conditioner,372.932195,329.332362
6,99,rmse,electric water heating appliance,907.646097,951.915569
6,99,rmse,fridge,53.87846,54.125038
6,99,rmse,kettle,642.277393,470.060518
6,99,rmse,oven,638.18642,624.460192
6,99,rmse,tumble dryer,614.074812,410.091834
6,99,rmse,vacuum cleaner,443.270692,444.981934
6,99,rmse,washing machine,27.876582,28.525574
6,199,f1score,air conditioner,0.0,0.0
6,199,f1score,electric water heating appliance,0.035533,0.210678
6,199,f1score,fridge,0.206762,0.013019
6,199,f1score,kettle,0.133545,0.109503
6,199,f1score,oven,0.117684,0.07957
6,199,f1score,tumble dryer,0.377812,0.379548
6,199,f1score,vacuum cleaner,0.081358,0.090278
6,199,f1score,washing machine,0.390117,0.415225
6,199,mae,air conditioner,351.4245,202.320679
6,199,mae,electric water heating appliance,299.032104,280.145813
6,199,mae,fridge,34.225037,29.157536
6,199,mae,kettle,293.918182,163.00412
6,199,mae,oven,205.786591,231.516785
6,199,mae,tumble dryer,261.475647,232.968521
6,199,mae,vacuum cleaner,151.042206,119.462265
6,199,mae,washing machine,17.862684,20.750463
6,199,nde,air conditioner,inf,inf
6,199,nde,electric water heating appliance,1.079894,1.046287
6,199,nde,fridge,1.018157,1.011242
6,199,nde,kettle,3.305663,1.370697
6,199,nde,oven,1.015108,1.052232
6,199,nde,tumble dryer,1.002295,0.767361
6,199,nde,vacuum cleaner,0.996991,1.010274
6,199,nde,washing machine,0.933702,1.00914
6,199,rmse,air conditioner,866.527841,384.67011
6,199,rmse,electric water heating appliance,980.243114,949.737497
6,199,rmse,fridge,55.082234,54.70811
6,199,rmse,kettle,1001.944796,415.457391
6,199,rmse,oven,593.406453,615.107689
6,199,rmse,tumble dryer,571.929902,437.871521
6,199,rmse,vacuum cleaner,449.686627,455.677963
6,199,rmse,washing machine,27.744466,29.98604
6,599,f1score,air conditioner,0.0,0.0
6,599,f1score,electric water heating appliance,0.080467,0.186667
6,599,f1score,fridge,0.105866,0.011806
6,599,f1score,kettle,0.133219,0.114549
6,599,f1score,oven,0.130044,0.207612
6,599,f1score,tumble dryer,0.5872,0.381692
6,599,f1score,vacuum cleaner,0.149333,0.230236
6,599,f1score,washing machine,0.404332,0.349157
6,599,mae,air conditioner,298.313843,207.903244
6,599,mae,electric water heating appliance,262.458801,251.844711
6,599,mae,fridge,34.051598,27.778009
6,599,mae,kettle,210.7509,181.488678
6,599,mae,oven,217.816605,188.860611
6,599,mae,tumble dryer,212.791946,273.353424
6,599,mae,vacuum cleaner,113.300896,111.399734
6,599,mae,washing machine,19.724548,21.593275
6,599,nde,air conditioner,inf,inf
6,599,nde,electric water heating appliance,0.964813,0.997995
6,599,nde,fridge,1.104037,1.033001
6,599,nde,kettle,2.842021,1.657719
6,599,nde,oven,0.989332,0.995015
6,599,nde,tumble dryer,0.849189,0.74255
6,599,nde,vacuum cleaner,0.941943,0.97076
6,599,nde,washing machine,1.055853,1.091078
6,599,rmse,air conditioner,568.431779,424.186464
6,599,rmse,electric water heating appliance,875.781151,905.901278
6,599,rmse,fridge,59.728318,55.885282
6,599,rmse,kettle,861.415079,502.453916
6,599,rmse,oven,578.338163,581.660285
6,599,rmse,tumble dryer,484.564624,423.713807
6,599,rmse,vacuum cleaner,424.85766,437.85532
6,599,rmse,washing machine,31.374093,32.420783
30,99,f1score,air conditioner,0.0,0.0
30,99,f1score,electric water heating appliance,0.137255,0.2
30,99,f1score,fridge,0.159322,0.097015
30,99,f1score,kettle,0.043478,0.061093
30,99,f1score,oven,0.169165,0.170075
30,99,f1score,tumble dryer,0.371429,0.429515
30,99,f1score,vacuum cleaner,0.114664,0.193309
