Timestamp,dryer,kettle,vacuum,water_heater,oven,fridge,washing_machine,aircond
2022-11-09 10:01:39,2736.48,0.0,0.0,0.0,0.0,64.8,0.0,0.0
2022-11-09 10:01:40,2736.65,0.0,0.0,0.0,0.0,64.92,0.0,0.0
2022-11-09 10:01:41,2735.71,0.0,0.0,0.0,0.0,64.83,0.0,0.0
2022-11-09 10:01:42,2733.42,0.0,0.0,0.0,0.0,64.85,0.0,0.0
2022-11-09 10:01:43,2732.88,0.0,0.0,0.0,0.0,64.74,0.0,0.0
2022-11-09 10:01:44,2735.77,0.0,0.0,0.0,0.0,64.84,0.0,0.0
2022-11-09 10:01:45,2734.38,0.0,0.0,0.0,0.0,64.82,0.0,0.0
2022-11-09 10:01:46,2733.94,0.0,0.0,0.0,0.0,64.91,0.0,0.0
2022-11-09 10:01:47,2732.08,0.0,0.0,0.0,0.0,65.01,0.0,0.0
2022-11-09 10:01:48,2728.46,0.0,0.0,0.0,0.0,65.08,0.0,0.0
2022-11-09 10:01:49,2728.97,0.0,0.0,0.0,0.0,65.0,0.0,0.0
2022-11-09 10:01:50,2729.42,0.0,0.0,0.0,0.0,64.83,0.0,0.0
2022-11-09 10:01:51,2732.16,0.0,0.0,0.0,0.0,64.52,0.0,0.0
2022-11-09 10:01:52,2734.09,0.0,0.0,0.0,0.0,64.92,0.0,0.0
2022-11-09 10:01:53,2735.15,0.0,0.0,0.0,0.0,64.76,0.0,0.0
2022-11-09 10:01:54,2734.3,0.0,0.0,0.0,0.0,65.0,0.0,0.0
2022-11-09 10:01:55,2731.4,0.0,0.0,0.0,0.0,65.49,0.0,0.0
2022-11-09 10:01:56,2729.15,0.0,0.0,0.0,0.0,65.26,0.0,0.0
2022-11-09 10:01:57,2724.83,0.0,0.0,0.0,0.0,65.08,0.0,0.0
2022-11-09 10:01:58,2724.05,0.0,0.0,0.0,0.0,64.84,0.0,0.0
2022-11-09 10:01:59,2723.21,0.0,0.0,0.0,0.0,64.9,0.0,0.0
2022-11-09 10:02:00,2721.06,0.0,0.0,0.0,0.0,64.93,0.0,0.0
2022-11-09 10:02:01,2721.45,0.0,0.0,0.0,0.0,64.85,0.0,0.0
2022-11-09 10:02:02,2721.46,0.0,0.0,0.0,0.0,64.69,0.0,0.0
2022-11-09 10:02:03,2724.48,0.0,0.0,0.0,0.0,64.8,0.0,0.0
2022-11-09 10:02:04,2727.64,0.0,0.0,0.0,0.0,64.67,0.0,0.0
2022-11-09 10:02:05,2726.7,0.0,0.0,0.0,0.0,64.98,0.0,0.0
2022-11-09 10:02:06,2727.5,0.0,0.0,0.0,0.0,64.81,0.0,0.0
2022-11-09 10:02:07,2728.94,0.0,0.0,0.0,0.0,64.82,0.0,0.0
2022-11-09 10:02:08,2730.44,0.0,0.0,0.0,0.0,64.99,0.0,0.0
2022-11-09 10:02:09,2732.85,0.0,0.0,0.0,0.0,65.03,0.0,0.0
2022-11-09 10:02:10,2733.73,0.0,0.0,0.0,0.0,65.07,0.0,0.0
2022-11-09 10:02:11,2730.1,0.0,0.0,0.0,0.0,64.76,0.0,0.0
2022-11-09 10:02:12,2729.58,0.0,0.0,0.0,0.0,65.14,0.0,0.0
2022-11-09 10:02:13,2727.38,0.0,0.0,0.0,0.0,65.06,0.0,0.0
2022-11-09 10:02:14,2729.54,0.0,0.0,0.0,0.0,65.13,0.0,0.0
2022-11-09 10:02:15,2729.69,0.0,0.0,0.0,0.0,65.29,0.0,0.0
